ID,Type,SubType,Price,NetHabitableSurface(msq),BedroomCount,Province,Locality,Region,PostCode,Floor,RegionCode,BuildingCondition,ConstructionYear,FacadeCount,HasBalcony,HasGarden,KitchenType,Status
10153155,HOUSE,HOUSE,650000.0,200.0,5.0,Liège,Liège,Wallonie,4020,2.0,WALLONIE,AS_NEW,,3.0,0.0,0.0,2,0
10153156,HOUSE,HOUSE,499000.0,240.0,5.0,Flemish Brabant,Wilsele,Flanders,3012,2.0,FLANDERS,JUST_RENOVATED,,1.0,0.0,1.0,0,0
10153158,APARTMENT,APARTMENT,248000.0,73.0,1.0,East Flanders,Gent,Flanders,9000,3.0,FLANDERS,,,2.0,0.0,0.0,1,0
10153159,HOUSE,HOUSE,445000.0,174.0,3.0,Antwerp,Zoersel,Flanders,2980,2.0,FLANDERS,AS_NEW,2013.0,3.0,0.0,0.0,3,1
10153172,HOUSE,HOUSE,229900.0,135.0,2.0,Limburg,Ham,Flanders,3945,2.0,FLANDERS,,,1.0,0.0,0.0,1,0
10153173,HOUSE,HOUSE,435000.0,288.0,4.0,East Flanders,Aalst,Flanders,9300,2.0,FLANDERS,TO_BE_DONE_UP,1957.0,2.0,0.0,1.0,2,0
10153178,HOUSE,HOUSE,199900.0,170.0,3.0,Limburg,Heusden-Zolder,Flanders,3550,2.0,FLANDERS,TO_RENOVATE,,1.0,0.0,0.0,1,0
10153187,HOUSE,HOUSE,175000.0,113.0,3.0,West Flanders,Aalbeke,Flanders,8511,2.0,FLANDERS,AS_NEW,,1.0,0.0,0.0,1,0
10153189,APARTMENT,APARTMENT,375000.0,134.0,3.0,Antwerp,Retie,Flanders,2470,2.0,FLANDERS,AS_NEW,2020.0,4.0,0.0,1.0,1,1
10153190,HOUSE,HOUSE,115000.0,80.0,2.0,West Flanders,Harelbeke,Flanders,8530,2.0,FLANDERS,TO_RENOVATE,,1.0,0.0,0.0,1,0
10153191,HOUSE,HOUSE,390000.0,223.0,4.0,West Flanders,Harelbeke,Flanders,8530,2.0,FLANDERS,JUST_RENOVATED,1937.0,1.0,0.0,0.0,3,0
10153192,HOUSE,HOUSE,285000.0,171.0,4.0,Antwerp,Turnhout,Flanders,2300,2.0,FLANDERS,JUST_RENOVATED,1951.0,2.0,0.0,1.0,1,0
10153193,HOUSE,HOUSE,479000.0,170.0,3.0,Antwerp,Vosselaar,Flanders,2350,2.0,FLANDERS,GOOD,1986.0,4.0,0.0,1.0,2,0
10153195,APARTMENT,APARTMENT,315000.0,79.0,1.0,East Flanders,Gent,Flanders,9000,1.0,FLANDERS,,,1.0,0.0,0.0,0,0
10153198,APARTMENT,APARTMENT,425000.0,91.0,2.0,East Flanders,Gent,Flanders,9000,2.0,FLANDERS,,,1.0,0.0,0.0,0,0
10153200,APARTMENT,APARTMENT,319000.0,107.0,2.0,West Flanders,Blankenberge,Flanders,8370,8.0,FLANDERS,TO_RENOVATE,1966.0,1.0,0.0,0.0,0,0
10153201,HOUSE,HOUSE,311000.0,155.0,3.0,Antwerp,Meerhout,Flanders,2450,2.0,FLANDERS,,2020.0,3.0,0.0,1.0,0,1
10153204,HOUSE,HOUSE,340980.0,185.0,3.0,Antwerp,Veerle,Flanders,2431,2.0,FLANDERS,,2022.0,3.0,0.0,1.0,0,1
10153209,APARTMENT,APARTMENT,525000.0,110.0,3.0,East Flanders,Gent,Flanders,9000,3.0,FLANDERS,,,1.0,0.0,0.0,0,0
10153210,HOUSE,HOUSE,249000.0,164.0,3.0,West Flanders,Roeselare,Flanders,8800,2.0,FLANDERS,TO_BE_DONE_UP,1969.0,1.0,0.0,1.0,1,0
10153219,HOUSE,HOUSE,449000.0,290.0,3.0,Antwerp,Olen,Flanders,2250,2.0,FLANDERS,,2023.0,3.0,0.0,1.0,3,1
